Database Key	Shape Family Key	imp_key	met_key	imp_displayName	met_displayName	imp_group	met_group	note	defaultOrder	imp_hist_A	met_hist_A	imp_hist_d	met_hist_d	imp_hist_t_w	met_hist_t_w	imp_hist_t_w/2	met_hist_t_w/2	imp_hist_b_f	met_hist_b_f	imp_hist_t_f	met_hist_t_f	imp_hist_k_1	met_hist_k_1	imp_hist_W	met_hist_W	imp_hist_b_f/2t_f	met_hist_b_f/2t_f	imp_hist_h/t_w	met_hist_h/t_w	imp_hist_I_x	met_hist_I_x	imp_hist_Z_x	met_hist_Z_x	imp_hist_S_x	met_hist_S_x	imp_hist_r_x	met_hist_r_x	imp_hist_y	met_hist_y	imp_hist_y_p	met_hist_y_p	imp_hist_I_y	met_hist_I_y	imp_hist_Z_y	met_hist_Z_y	imp_hist_S_y	met_hist_S_y	imp_hist_r_y	met_hist_r_y	imp_hist_x	met_hist_x	imp_hist_x_p	met_hist_x_p	imp_hist_r_z	met_hist_r_z	imp_hist_e_o	met_hist_e_o	imp_hist_tan(ALPHA)	met_hist_tan(ALPHA)	imp_hist_OD	met_hist_OD	imp_hist_ID	met_hist_ID	imp_hist_J	met_hist_J	imp_hist_t	met_hist_t	imp_hist_d/t	met_hist_d/t	imp_hist_C_w	met_hist_C_w	imp_hist_W_no	met_hist_W_no	imp_hist_S_w	met_hist_S_w	imp_hist_Q_f	met_hist_Q_f	imp_hist_Q_w	met_hist_Q_w	imp_hist_B	met_hist_B	imp_hist_Ht/t	met_hist_Ht/t	imp_hist_Ht	met_hist_Ht	imp_hist_t_nom	met_hist_t_nom	imp_hist_t_des	met_hist_t_des	imp_hist_C	met_hist_C	imp_hist_r_o	met_hist_r_o	imp_hist_H	met_hist_H	imp_hist_d_det	met_hist_d_det	imp_hist_b_fdet	met_hist_b_fdet	imp_hist_t_wdet	met_hist_t_wdet	imp_hist_t_fdet	met_hist_t_fdet	imp_hist_k_des	met_hist_k_des	imp_hist_k_det	met_hist_k_det	imp_hist_B/t	met_hist_B/t	imp_hist_S_z	met_hist_S_z	imp_hist_Q_s	met_hist_Q_s
AISC_LRFD_13	W	W44X335	W1100X499	W44X335	W1100X499	W44	W1100		1	98.5	63548.26	44	1117.6	1.03	26.162	0.5	12.7	15.9	403.86	1.77	44.958	1.3125	33.3375	335	498.5349199	4.5	4.5	38	38	31100	12944797336	1620	26547043.68	1410	23105760.24	17.8	452.12					1200	499477710.7	236	3867347.104	150	2458059.6	3.49	88.646															74.7	31092487.49					535000	143666688598951	168	108386.88	1180	491153082.2	278	4555603.792	805	13191586.52																	44	1117.6	16	406.4	1	25.4	1.75	44.45	2.56	65.024	2.625	66.675						
AISC_LRFD_13	W	W44X290	W1100X433	W44X290	W1100X433	W44	W1100		2	85.4	55096.664	43.6	1107.44	0.865	21.971	0.4375	11.1125	15.8	401.32	1.58	40.132	1.25	31.75	290	431.5675426	5.02	5.02	45	45	27000	11238248491	1410	23105760.24	1240	20319959.36	17.8	452.12					1040	432880682.6	205	3359348.12	132	2163092.448	3.49	88.646															50.9	21186179.56					461000	123795034474984	166	107096.56	1040	432880682.6	248	4063991.872	701	11487331.86																	43.625	1108.075	15.875	403.225	0.875	22.225	1.5625	39.6875	2.36	59.944	2.4375	61.9125						
AISC_LRFD_13	W	W44X262	W1100X390	W44X262	W1100X390	W44	W1100		3	76.9	49612.804	43.3	1099.82	0.785	19.939	0.4375	11.1125	15.8	401.32	1.42	36.068	1.1875	30.1625	262	389.8989523	5.57	5.57	49.6	49.6	24100	10031177357	1270	20811571.28	1110	18189641.04	17.7	449.58					923	384181605.8	182	2982445.648	117	1917286.488	3.47	88.138															37.3	15525432.17					405000	108757025948739	165	106451.4	928	386262763	223	3654315.272	630	10323850.32																	43.25	1098.55	15.75	400.05	0.8125	20.6375	1.4375	36.5125	2.2	55.88	2.25	57.15						
AISC_LRFD_13	W	W44X230	W1100X343	W44X230	W1100X343	W44	W1100		4	67.7	43677.332	42.9	1089.66	0.71	18.034	0.375	9.525	15.8	401.32	1.22	30.988	1.1875	30.1625	230	342.2777062	6.45	6.45	54.8	54.8	20800	8657613652	1100	18025770.4	971	15911839.14	17.5	444.5					796	331320214.8	157	2572769.048	101	1655093.464	3.43	87.122															24.9	10364162.5					346000	92913409822873	165	106451.4	793	330071520.5	192	3146316.288	547	8963724.008																	42.875	1089.025	15.75	400.05	0.6875	17.4625	1.25	31.75	2.01	51.054	2.0625	52.3875						
AISC_LRFD_13	W	W40X593	W1000X883	W40X593	W1000X883	W40	W1000		5	174	112257.84	43	1092.2	1.79	45.466	0.9375	23.8125	16.7	424.18	3.23	82.042	2.125	53.975	593	882.4812164	2.58	2.58	19.1	19.1	50400	20978063850	2760	45228296.64	2340	38345729.76	17	431.8					2520	1048903193	481	7882177.784	302	4948893.328	3.8	96.52															445	185222984.4					997000	267730258940476	166	107096.56	2240	932358393.3	479	7849403.656	1370	22450277.68																	43	1092.2	16.75	425.45	1.8125	46.0375	3.25	82.55	4.41	112.014	4.5	114.3						
AISC_LRFD_13	W	W40X503	W1000X748	W40X503	W1000X748	W40	W1000		6	148	95483.68	42.1	1069.34	1.54	39.116	0.8125	20.6375	16.4	416.56	2.76	70.104	2	50.8	503	748.5464618	2.98	2.98	22.3	22.3	41600	17315227305	2320	38017988.48	1980	32446386.72	16.8	426.72					2040	849112108.2	394	6456503.216	249	4080378.936	3.72	94.488															277	115296104.9					789000	211874798700136	161	103870.76	1830	761703508.8	403	6603986.792	1150	18845123.6																	42	1066.8	16.375	415.925	1.5625	39.6875	2.75	69.85	3.94	100.076	4	101.6						
AISC_LRFD_13	W	W40X431	W1000X642	W40X431	W1000X642	W40	W1000		7	127	81935.32	41.3	1049.02	1.34	34.036	0.6875	17.4625	16.2	411.48	2.36	59.944	1.875	47.625	431	641.3986581	3.44	3.44	25.5	25.5	34800	14484853611	1960	32118645.44	1690	27694138.16	16.6	421.64					1690	703431109.3	328	5374956.992	208	3408509.312	3.65	92.71															177	73672962.33					638000	171325882852581	158	101935.28	1510	628509452.7	341	5587988.824	969	15879065.02																	41.25	1047.75	16.25	412.75	1.3125	33.3375	2.375	60.325	3.54	89.916	3.625	92.075						
AISC_LRFD_13	W	W40X397	W1000X591	W40X397	W1000X591	W40	W1000		8	117	75483.72	41	1041.4	1.22	30.988	0.625	15.875	16.1	408.94	2.2	55.88	1.8125	46.0375	397	590.8010842	3.66	3.66	28	28	32000	13319405619	1800	29496715.2	1560	25563819.84	16.6	421.64					1540	640996395.4	300	4916119.2	191	3129929.224	3.64	92.456															142	59104862.44					579000	155482266726716	156	100644.96	1380	574399367.3	318	5211086.352	891	14600874.02																	41	1041.4	16.125	409.575	1.25	31.75	2.1875	55.5625	3.38	85.852	3.5	88.9						
AISC_LRFD_13	W	W40X392	W1000X584	W40X392	W1000X584	W40	W1000		9	109	70322.44	40.6	1031.24	1.16	29.464	0.625	15.875	16.1	408.94	2.05	52.07	1.8125	46.0375	372	553.5969857	3.93	3.93	29.5	29.5	29600	12320450198	1680	27530267.52	1460	23925113.44	16.5	419.1					1420	591048624.4	277	4539216.728	177	2900510.328	3.6	91.44															116	48282845.37					528000	141786937533171	155	99999.8	1280	532776224.8	295	4834183.88	829	13584876.06																	40.625	1031.875	16.125	409.575	1.1875	30.1625	2.0625	52.3875	3.23	82.042	3.3125	84.1375						
AISC_LRFD_13	W	W40X372	W1000X554	W40X372	W1000X554	W40	W1000		10	107	69032.12	40.6	1031.24	1.12	28.448	0.5625	14.2875	16	406.4	2.01	51.054	1.75	44.45	362	538.7153463	3.99	3.99	30.5	30.5	28900	12029088200	1640	26874784.96	1420	23269630.88	16.5	419.1					1380	574399367.3	270	4424507.28	173	2834962.072	3.6	91.44															109	45369225.39					513000	137758899535069	154	99354.64	1240	516126967.7	289	4735861.496	808	13240747.71																	40.5	1028.7	16	406.4	1.125	28.575	2	50.8	3.19	81.026	3.25	82.55						
AISC_LRFD_13	W	W40X362	W1000X539	W40X362	W1000X539	W40	W1000		11	95.3	61483.748	40.2	1021.08	1	25.4	0.5	12.7	15.9	403.86	1.81	45.974	1.6875	42.8625	324	482.1651166	4.4	4.4	34.2	34.2	25600	10655524495	1460	23925113.44	1280	20975441.92	16.4	416.56					1220	507802339.2	239	3916508.296	153	2507220.792	3.58	90.932															79.4	33048775.19					448000	120304068209963	153	98709.48	1100	457854568.2	259	4244249.576	720	11798686.08																	40.125	1019.175	15.875	403.225	1	25.4	1.8125	46.0375	2.99	75.946	3.0625	77.7875						
AISC_LRFD_13	W	W40X331	W1000X494	W40X331	W1000X494	W40	W1000		12	87.4	56386.984	39.8	1010.92	0.93	23.622	0.5	12.7	15.8	401.32	1.65	41.91	1.6875	42.8625	297	441.9846902	4.8	4.8	36.8	36.8	23200	9656569074	1330	21794795.12	1170	19172864.88	16.3	414.02					1090	453692253.9	215	3523218.76	138	2261414.832	3.54	89.916															61.2	25473363.25					399000	107145810749498	151	97419.16	982	408739259.9	234	3834572.976	652	10684365.73																	39.875	1012.825	15.875	403.225	0.9375	23.8125	1.625	41.275	2.83	71.882	2.9375	74.6125						
AISC_LRFD_13	W	W40X327	W1000X486	W40X327	W1000X486	W40	W1000		13	81.4	52516.024	39.7	1008.38	0.83	21.082	0.4375	11.1125	15.8	401.32	1.58	40.132	1.625	41.275	277	412.2214114	5.03	5.03	41.2	41.2	21900	9115468221	1250	20483830	1100	18025770.4	16.4	416.56					1040	432880682.6	204	3342961.056	132	2163092.448	3.58	90.932															51.5	21435918.42					379000	101775093418696	151	97419.16	940	391257540.1	225	3687089.4	614	10061657.3																	39.75	1009.65	15.875	403.225	0.8125	20.6375	1.5625	39.6875	2.76	70.104	2.875	73.025						
AISC_LRFD_13	W	W40X324	W1000X483	W40X324	W1000X483	W40	W1000		14	73.3	47290.228	39.4	1000.76	0.75	19.05	0.375	9.525	15.8	401.32	1.42	36.068	1.5625	39.6875	249	370.5528211	5.55	5.55	45.6	45.6	19600	8158135942	1120	18353511.68	993	16272354.55	16.3	414.02					926	385430300.1	182	2982445.648	118	1933673.552	3.55	90.17															38.1	15858417.32					334000	89690979424392	150	96774	841	350050628.9	203	3326573.992	551	9029272.264																	39.375	1000.125	15.75	400.05	0.75	19.05	1.4375	36.5125	2.6	66.04	2.6875	68.2625						
AISC_LRFD_13	W	W40X297	W1000X443	W40X297	W1000X443	W40	W1000		15	63.4	40903.144	39	990.6	0.65	16.51	0.3125	7.9375	15.8	401.32	1.22	30.988	1.5625	39.6875	215	319.9552471	6.45	6.45	52.6	52.6	16700	6951064808	964	15797129.7	859	14076487.98	16.2	411.48					796	331320214.8	156	2556381.984	101	1655093.464	3.54	89.916															24.8	10322539.35					284000	76264186097387	149	96128.84	719	299270395	175	2867736.2	473	7751081.272																	39	990.6	15.75	400.05	0.625	15.875	1.25	31.75	2.4	60.96	2.5	63.5						
AISC_LRFD_13	W	W40X294	W1000X438	W40X294	W1000X438	W40	W1000		16	58.5	37741.86	38.7	982.98	0.65	16.51	0.3125	7.9375	15.8	401.32	1.07	27.178	1.5625	39.6875	199	296.1446241	7.39	7.39	52.6	52.6	14900	6201848241	869	14240358.62	770	12618039.28	16	406.4					695	289280840.8	137	2245027.768	88.2	1445339.045	3.45	87.63															18.3	7617035.088					246000	66059823168864	149	96128.84	628	261393335.3	153	2507220.792	427	6997276.328																	38.625	981.075	15.75	400.05	0.625	15.875	1.0625	26.9875	2.25	57.15	2.3125	58.7375						
AISC_LRFD_13	W	W40X278	W1000X415	W40X278	W1000X415	W40	W1000		17	115	74193.4	41.6	1056.64	1.42	36.068	0.75	19.05	12.4	314.96	2.52	64.008	1.9375	49.2125	392	583.3602645	2.45	2.45	24.1	24.1	29900	12445319625	1710	28021879.44	1440	23597372.16	16.1	408.94					803	334233834.8	212	3474057.568	130	2130318.32	2.64	67.056															172	71591805.2					306000	82171975161269	121	78064.36	946	393754928.6	270	4424507.28	848	13896230.27																	41.625	1057.275	12.375	314.325	1.4375	36.5125	2.5	63.5	3.7	93.98	3.8125	96.8375						
