Database Key	Shape Family Key	imp_key	met_key	imp_displayName	met_displayName	imp_group	met_group	note	defaultOrder	imp_curr_W	met_curr_W	imp_curr_A	met_curr_A	imp_curr_d	met_curr_d	imp_curr_d_det	met_curr_d_det	imp_curr_Ht	met_curr_Ht	imp_curr_h	met_curr_h	imp_curr_OD	met_curr_OD	imp_curr_b_f	met_curr_b_f	imp_curr_b_fdet	met_curr_b_fdet	imp_curr_B	met_curr_B	imp_curr_b	met_curr_b	imp_curr_ID	met_curr_ID	imp_curr_t_w	met_curr_t_w	imp_curr_t_wdet	met_curr_t_wdet	imp_curr_t_wdet/2	met_curr_t_wdet/2	imp_curr_t_f	met_curr_t_f	imp_curr_t_fdet	met_curr_t_fdet	imp_curr_t	met_curr_t	imp_curr_t_nom	met_curr_t_nom	imp_curr_t_des	met_curr_t_des	imp_curr_k_des	met_curr_k_des	imp_curr_k_det	met_curr_k_det	imp_curr_k_1	met_curr_k_1	imp_curr_x	met_curr_x	imp_curr_y	met_curr_y	imp_curr_e_o	met_curr_e_o	imp_curr_x_p	met_curr_x_p	imp_curr_y_p	met_curr_y_p	imp_curr_b_f/2t_f	met_curr_b_f/2t_f	imp_curr_b/t	met_curr_b/t	imp_curr_b/t_des	met_curr_b/t_des	imp_curr_h/t_w	met_curr_h/t_w	imp_curr_h/t_des	met_curr_h/t_des	imp_curr_D/t	met_curr_D/t	imp_curr_I_x	met_curr_I_x	imp_curr_Z_x	met_curr_Z_x	imp_curr_S_x	met_curr_S_x	imp_curr_r_x	met_curr_r_x	imp_curr_I_y	met_curr_I_y	imp_curr_Z_y	met_curr_Z_y	imp_curr_S_y	met_curr_S_y	imp_curr_r_y	met_curr_r_y	imp_curr_I_z	met_curr_I_z	imp_curr_r_z	met_curr_r_z	imp_curr_S_z	met_curr_S_z	imp_curr_J	met_curr_J	imp_curr_C_w	met_curr_C_w	imp_curr_C	met_curr_C	imp_curr_W_no	met_curr_W_no	imp_curr_S_w1	met_curr_S_w1	imp_curr_S_w2	met_curr_S_w2	imp_curr_S_w3	met_curr_S_w3	imp_curr_Q_f	met_curr_Q_f	imp_curr_Q_w	met_curr_Q_w	imp_curr_r_o	met_curr_r_o	imp_curr_H	met_curr_H	imp_curr_tan(ALPHA)	met_curr_tanALPHA	imp_curr_Q_s	met_curr_Q_s	imp_curr_I_w	met_curr_I_w	imp_curr_z_A	met_curr_z_A	imp_curr_z_B	met_curr_z_B	imp_curr_z_C	met_curr_z_C	imp_curr_w_A	met_curr_w_A	imp_curr_w_B	met_curr_w_B	imp_curr_w_C	met_curr_w_C	imp_curr_S_wA	met_curr_S_wA	imp_curr_S_wB	met_curr_S_wB	imp_curr_S_wC	met_curr_S_wC	imp_curr_S_zA	met_curr_S_zA	imp_curr_S_zB	met_curr_S_zB	imp_curr_S_zC	met_curr_S_zC	imp_curr_r_ts	met_curr_r_ts	imp_curr_h_o	met_curr_h_o	imp_curr_P_A	met_curr_P_A	imp_curr_P_B	met_curr_P_B
AISC_LRFD_14	W	W44X335	W1100X499	W44X335	W1100X499	W44	W1100		1	335	499	98.5	63500	44.0	1120	44	1120							15.9	404	16	406							1.03	26.2	1	25.4	0.5	12.7	1.77	45.0	1.75	44.4							2.56	65.0	2.625	66.7	1.3125	33.3											4.50	4.50					38.0	38.0					31100	12900000000	1620	26500000	1410	23100000	17.8	452	1200	499000000	236	3870000	150	2460000	3.49	88.6							74.7	31100000	535000	144000000000000			168	108000	1180	491000000					278	4560000	805	13200000																																			4.24	108	42.2	1070	132	3350	148	3760
AISC_LRFD_14	W	W44X290	W1100X433	W44X290	W1100X433	W44	W1100		2	290	433	85.4	55100	43.6	1110	43.625	1110							15.8	401	15.875	403							0.865	22.0	0.875	22.2	0.4375	11.1	1.58	40.1	1.5625	39.7							2.36	59.9	2.4375	61.9	1.25	31.8											5.02	5.02					45.0	45.0					27000	11200000000	1410	23100000	1240	20300000	17.8	452	1040	433000000	205	3360000	132	2160000	3.49	88.6							50.9	21200000	461000	124000000000000			166	107000	1040	433000000					248	4060000	701	11500000																																			4.20	107	42.0	1070	131	3330	147	3730
AISC_LRFD_14	W	W44X262	W1100X390	W44X262	W1100X390	W44	W1100		3	262	390	77.2	49800	43.3	1100	43.25	1100							15.8	401	15.75	400							0.785	19.9	0.8125	20.6	0.4375	11.1	1.42	36.1	1.4375	36.5							2.20	55.9	2.25	57.2	1.1875	30.2											5.57	5.57					49.6	49.6					24100	10000000000	1270	20800000	1110	18200000	17.7	450	923	384000000	182	2980000	117	1920000	3.47	88.1							37.3	15500000	405000	109000000000000			165	106000	928	386000000					223	3650000	630	10300000																																			4.17	106	41.9	1060	131	3330	147	3730
AISC_LRFD_14	W	W44X230	W1100X343	W44X230	W1100X343	W44	W1100		4	230	343	67.8	43700	42.9	1090	42.875	1090							15.8	401	15.75	400							0.710	18.0	0.6875	17.5	0.375	9.52	1.22	31.0	1.25	31.8							2.01	51.1	2.0625	52.4	1.1875	30.2											6.45	6.45					54.8	54.8					20800	8660000000	1100	18000000	971	15900000	17.5	445	796	331000000	157	2570000	101	1660000	3.43	87.1							24.9	10400000	346000	92900000000000			165	106000	793	330000000					192	3150000	547	8960000																																			4.13	105	41.7	1060	130	3300	146	3710
AISC_LRFD_14	W	W40X593	W1000X883	W40X593	W1000X883	W40	W1000		5	593	883	174	112000	43.0	1090	43	1090							16.7	424	16.75	425							1.79	45.5	1.8125	46.0	0.9375	23.8	3.23	82.0	3.25	82.6							4.41	112	4.5	114	2.125	54.0											2.58	2.58					19.1	19.1					50400	21000000000	2760	45200000	2340	38300000	17.0	432	2520	1050000000	481	7880000	302	4950000	3.80	96.5							445	185000000	997000	268000000000000			166	107000	2240	932000000					479	7850000	1370	22500000																																			4.63	118	39.8	1010	130	3300	147	3730
AISC_LRFD_14	W	W40X503	W1000X748	W40X503	W1000X748	W40	W1000		6	503	748	148	95500	42.1	1070	42	1070							16.4	417	16.375	416							1.54	39.1	1.5625	39.7	0.8125	20.6	2.76	70.1	2.75	69.8							3.94	100	4	102	2	50.8											2.98	2.98					22.3	22.3					41600	17300000000	2320	38000000	1980	32400000	16.8	427	2040	849000000	394	6460000	249	4080000	3.72	94.5							277	115000000	789000	212000000000000			161	104000	1830	762000000					403	6600000	1150	18800000																																			4.50	114	39.3	998	129	3280	145	3680
AISC_LRFD_14	W	W40X431	W1000X642	W40X431	W1000X642	W40	W1000		7	431	642	127	81900	41.3	1050	41.25	1050							16.2	411	16.25	413							1.34	34.0	1.3125	33.3	0.6875	17.5	2.36	59.9	2.375	60.3							3.54	89.9	3.625	92.1	1.875	47.6											3.44	3.44					25.5	25.5					34800	14500000000	1960	32100000	1690	27700000	16.6	422	1690	703000000	328	5370000	208	3410000	3.65	92.7							177	73700000	638000	171000000000000			158	102000	1510	629000000					341	5590000	969	15900000																																			4.41	112	38.9	988	127	3230	143	3630
AISC_LRFD_14	W	W40X397	W1000X591	W40X397	W1000X591	W40	W1000		8	397	591	117	75500	41.0	1040	41	1040							16.1	409	16.125	410							1.22	31.0	1.25	31.8	0.625	15.9	2.20	55.9	2.1875	55.6							3.38	85.9	3.5	88.9	1.8125	46.0											3.66	3.66					28.0	28.0					32000	13300000000	1800	29500000	1560	25600000	16.6	422	1540	641000000	300	4920000	191	3130000	3.64	92.5							142	59100000	579000	155000000000000			156	101000	1380	574000000					318	5210000	891	14600000																																			4.38	111	38.8	986	126	3200	142	3610
AISC_LRFD_14	W	W40X372	W1000X554	W40X372	W1000X554	W40	W1000		9	372	554	110	71000	40.6	1030	40.625	1030							16.1	409	16.125	410							1.16	29.5	1.1875	30.2	0.625	15.9	2.05	52.1	2.0625	52.4							3.23	82.0	3.3125	84.1	1.8125	46.0											3.93	3.93					29.5	29.5					29600	12300000000	1680	27500000	1460	23900000	16.5	419	1420	591000000	277	4540000	177	2900000	3.60	91.4							116	48300000	528000	142000000000000			155	100000	1280	533000000					295	4830000	829	13600000																																			4.33	110	38.6	980	125	3180	141	3580
AISC_LRFD_14	W	W40X362	W1000X539	W40X362	W1000X539	W40	W1000		10	362	539	106	68400	40.6	1030	40.5	1030							16.0	406	16	406							1.12	28.4	1.125	28.6	0.5625	14.3	2.01	51.1	2	50.8							3.19	81.0	3.25	82.6	1.75	44.5											3.99	3.99					30.5	30.5					28900	12000000000	1640	26900000	1420	23300000	16.5	419	1380	574000000	270	4420000	173	2830000	3.60	91.4							109	45400000	513000	138000000000000			154	99400	1240	516000000					289	4740000	808	13200000																																			4.33	110	38.6	980	125	3180	141	3580
